Date,price,log_return,volatility_20d,mean_return_20d,ma_50,price_ma_ratio
2024-03-13,21997.69921875,-0.015248393356596964,0.0069533550416380945,0.0005817251191625379,21879.1399609375,1.0054188262438182
2024-03-14,22146.650390625,0.006748394232673185,0.007039337059248813,0.0006970392566649191,21887.2349609375,1.0118523618972648
2024-03-15,22023.349609375,-0.005583024746448362,0.007147401261805826,0.0002562926221688468,21894.3859375,1.00589026210843
2024-03-18,22055.69921875,0.001467800056624233,0.007030382013252959,3.401638480705843e-05,21905.1529296875,1.0068726426857522
2024-03-19,21817.44921875,-0.010860963960358783,0.0073764172998498495,-0.0006936908438821733,21908.329921875,0.9958517740307418
2024-03-20,21839.099609375,0.0009918508439663014,0.007326432696982951,-0.0008126466753082245,21910.8958984375,0.9967232609111333
2024-03-21,22011.94921875,0.007883528864675105,0.00744768735178066,-9.780919110574218e-05,21920.8748828125,1.0041546852680094
2024-03-22,22096.75,0.0038450866714008036,0.007303795792850225,-0.0002723721049981779,21931.912890625,1.0075158564689293
2024-03-26,22004.69921875,-0.004174507484794188,0.007355635526472983,-0.00047040654034809633,21939.632890625,1.0029656981249129
2024-03-27,22123.650390625,0.005391158338500764,0.007415381889168925,3.615287662596129e-06,21949.1619140625,1.0079496646498702
2024-03-28,22326.900390625,0.009145057280234776,0.007660151243846038,0.0002887151412609407,21957.80890625,1.0168091218003972
2024-04-01,22462.0,0.006032745520934439,0.007258660758293256,0.0011502722398663491,21965.099921875,1.0226222543895709
2024-04-02,22453.30078125,-0.00038736104211539534,0.007266316492567142,0.001058863328115202,21973.519921875,1.0218345017585175
2024-04-03,22434.650390625,-0.0008309754048160305,0.006355194673338992,0.00021419087325215544,21990.7739453125,1.0201846668251127
2024-04-04,22514.650390625,0.0035595696965144527,0.006369591833256769,0.00024276578042418075,22011.821953125,1.0228435628168715
2024-04-05,22513.69921875,-4.22476898839797e-05,0.006344204895319996,0.0003507891310702283,22029.6479296875,1.0219727201545596
2024-04-08,22666.30078125,0.006755296273493474,0.006413807191281655,0.0004258964667696384,22058.1979296875,1.0275681111168231
2024-04-09,22642.75,-0.0010395619844089984,0.00642106920848908,0.00033055381052425213,22081.9739453125,1.025395195922081
2024-04-10,22753.80078125,0.004892486360835239,0.006242916472505848,0.0009341224009711832,22109.99796875,1.0291181760129486
2024-04-12,22519.400390625,-0.01035502147176367,0.006734870324741945,0.0004095458499333198,22125.633984375,1.0177968417324483
2024-04-15,22272.5,-0.011024443666037696,0.006268064655719087,0.0006207433344612833,22140.6419921875,1.0059554735521683
2024-04-16,22147.900390625,-0.005610032105390299,0.006241297005941259,2.822017558109114e-06,22149.086015625,0.999946470703163
2024-04-18,21995.849609375,-0.006888920065700564,0.0063092711012529635,-6.247274840450096e-05,22155.0540234375,0.992814081432883
2024-04-19,22147.0,0.006848265696137249,0.006490074345609236,0.0002065505335711498,22160.9180078125,0.9993719570729158
2024-04-22,22336.400390625,0.008515605079627573,0.006190307254542091,0.0011753789855704676,22172.21203125,1.007405141135381
2024-04-23,22368.0,0.0014137138340638612,0.006190367715926079,0.0011964721350753455,22180.9840234375,1.0084313651894294
2024-04-24,22402.400390625,0.001536747364098986,0.005988925632782632,0.0008791330600465398,22190.42203125,1.0095526961621766
2024-04-25,22570.349609375,0.007468967297299811,0.006136387516820625,0.00106032709134149,22207.4700390625,1.0163404282286186
2024-04-26,22419.94921875,-0.006685928069119567,0.006273316078015816,0.0009347560621252211,22220.2190234375,1.0089886690631549
2024-04-29,22643.400390625,0.009917283345523465,0.006519353303609073,0.001161062312476356,22240.766015625,1.0181034400846236
2024-04-30,22604.849609375,-0.0017039682453004383,0.006266521486008045,0.0006186110361995953,22257.9980078125,1.0155832344598448
2024-05-02,22648.19921875,0.0019158763335262374,0.0061457694203537515,0.0004127675768291852,22274.1609765625,1.016792472793075
2024-05-03,22475.849609375,-0.0076389620148829334,0.006403946198583694,5.018752819080834e-05,22285.46296875,1.0085430866252127
2024-05-06,22442.69921875,-0.0014760226012829026,0.006410238834220634,1.793516836746473e-05,22293.50296875,1.0066923645964987
2024-05-07,22302.5,-0.0062665796554610105,0.006500430622208793,-0.0004733722992313084,22297.10796875,1.0002418264851907
2024-05-08,22302.5,0.0,0.006500584956959747,-0.0004712599147371095,22299.218984375,1.0001471358986744
2024-05-09,21957.5,-0.015590012996666094,0.007086987441642993,-0.0015885253782450877,22297.26796875,0.9847619013582207
2024-05-10,22055.19921875,0.004439599522660019,0.007214088181191817,-0.001314567302891637,22294.02296875,0.9892875435566401
2024-05-13,22104.05078125,0.002212518664983643,0.0071169627108763145,-0.0014485656876842166,22291.85,0.9915754314357041
2024-05-14,22217.849609375,0.005135117275633606,0.006937293242586588,-0.0006740587503143529,22293.7659765625,0.9965947266483685
2024-05-15,22200.55078125,-0.0007789037357247285,0.00649707093228319,-0.00016178175379870456,22293.81,0.9958168110901635
2024-05-16,22403.849609375,0.00911570311987133,0.006679003286319225,0.0005745050074643769,22302.863984375,1.0045279218431655
2024-05-17,22466.099609375,0.0027746873362616406,0.006456499932262628,0.001057685377562487,22312.5299609375,1.0068826640773751
2024-05-21,22529.05078125,0.002798133238882937,0.006327548772158654,0.0008551787546997715,22316.3359765625,1.0095317979130132
2024-05-22,22597.80078125,0.0030469687473969323,0.0060929040200039,0.0005817469380882394,22320.18,1.0124381067379384
